id,CTDTEMP_ITS90,Salinity_PSS78,Depth,TA,DIC
80,16.5,33.6095,13.0,2241.0,1990.6
81,11.23,33.6095,13.0,2241.0,1990.0
82,16.81,33.6095,11.0,2241.0,1993.0
83,11.23,33.6095,11.0,2241.0,1992.0
85,11.23,33.504,11.0,2241.0,1999.9
86,15.73,33.6095,11.0,2241.0,1990.7
87,14.15,33.264,11.0,2241.0,1993.9
88,11.23,33.264,11.0,2241.0,1993.4
89,15.94,33.6095,11.0,2241.0,1993.2
90,11.23,33.6095,11.0,2241.0,1991.4
91,14.77,33.6095,11.0,2241.0,1988.1
92,11.23,33.6095,11.0,2241.0,1988.7
94,11.23,33.6095,11.0,2241.0,1994.8
97,15.7,33.392,10.0,2231.4,1989.0
98,16.57,33.596,11.0,2240.8,1994.0
100,16.28,33.6095,10.0,2241.0,1993.4
101,11.23,33.6095,10.0,2241.0,1990.9
102,15.93,33.388,11.0,2229.2,1989.9
103,16.7,33.579,10.0,2241.0,1994.4
104,11.23,33.6095,10.0,2241.0,1992.2
105,16.68,33.6095,10.0,2241.0,1995.3
106,11.23,33.564,10.0,2239.1,1993.2
107,17.19,33.6095,10.0,2241.0,1993.9
108,11.23,33.671,10.0,2245.7,1994.9
110,16.7,33.577,10.0,2241.0,1993.3
111,16.68,33.562,10.0,2239.1,1994.3
112,17.46,33.592,11.0,2240.4,1993.6
113,11.23,33.592,11.0,2239.5,1992.4
114,17.46,33.592,11.0,2239.9,1993.0
115,16.57,33.339,11.0,2228.3,1987.3
116,11.23,33.34,11.0,2229.2,1988.6
117,17.15,33.509,11.0,2241.6,1988.8
118,11.23,33.509,11.0,2238.9,1990.2
119,17.64,33.604,11.0,2240.0,1992.3
121,17.15,33.509,11.0,2240.2,1989.5
122,17.64,33.6,11.0,2240.0,1991.8
123,16.57,33.34,11.0,2228.8,1988.0
125,11.23,33.6095,10.0,2241.0,1991.3
126,16.5,33.239,10.0,2218.2,1992.7
127,11.23,33.6095,10.0,2241.0,1990.8
128,16.54,33.6095,60.0,2241.0,1992.8
129,11.23,33.6095,60.0,2241.0,1994.3
130,16.5,33.243,10.0,2218.2,1991.7
131,15.56,33.6095,10.0,2241.0,1995.5
133,16.13,33.275,10.0,2226.7,1991.2
135,16.13,33.273,10.0,2225.8,1990.8
136,15.25,33.556,11.0,2241.0,2000.8
137,15.34,33.34,10.0,2234.0,1999.8
138,11.23,33.339,10.0,2233.2,1999.0
140,11.23,33.532,11.0,2241.0,2011.2
141,15.34,33.34,10.0,2234.0,1999.4
142,16.72,33.6095,10.0,2241.0,1993.1
143,11.23,33.6095,10.0,2241.0,1993.3
145,11.23,33.6095,10.0,2241.0,1996.5
146,16.9,33.6095,10.0,2241.0,1990.8
147,11.23,33.6095,10.0,2241.0,1989.5
148,15.04,32.968,11.0,2241.0,1986.4
152,17.72,33.277,10.0,2222.7,1987.4
153,11.23,33.6095,10.0,2241.0,1986.8
154,17.65,33.6095,10.0,2241.0,1986.6
155,11.23,33.6095,10.0,2241.0,1985.7
158,17.22,33.6095,10.0,2241.0,1996.1
159,11.23,33.6095,10.0,2241.0,1996.0
160,17.72,33.273,10.0,2222.7,1987.1
161,19.83,33.6095,10.0,2241.0,1990.8
162,11.23,33.578,10.0,2240.1,1990.4
163,19.83,33.578,10.0,2240.1,1990.6
164,19.42,33.6095,10.0,2241.0,1991.3
165,11.23,33.6095,10.0,2241.0,1989.8
167,11.23,33.659,10.0,2244.7,1986.7
168,20.37,33.66,10.0,2244.7,1987.3
169,18.27,33.428,10.0,2241.0,1986.1
171,17.22,33.154,12.0,2216.5,1978.2
172,11.23,33.6095,12.0,2241.0,2003.3
173,18.18,33.441,10.0,2241.0,1982.7
176,11.23,33.575,11.0,2240.8,1983.1
178,17.22,33.151,12.0,2216.5,1978.2
180,11.23,33.6095,12.0,2241.0,1982.7
181,18.16,33.6095,12.0,2241.0,1980.1
182,11.23,33.6095,12.0,2241.0,1978.5
185,18.61,33.323,11.0,2225.7,1982.4
186,19.24,33.6095,10.0,2241.0,1981.2
187,11.23,33.6095,10.0,2241.0,1980.4
189,11.23,33.6095,11.0,2241.0,1979.4
190,19.67,33.6095,11.0,2241.0,1990.7
191,11.23,33.6095,11.0,2241.0,1990.6
193,11.23,33.6095,11.0,2241.0,1987.5
195,11.23,33.776,10.0,2251.6,1986.6
197,15.6,33.398,10.0,2239.0,1986.0
198,11.23,33.388,10.0,2231.1,1985.3
199,14.67,33.363,10.0,2224.4,1991.4
200,11.23,33.361,10.0,2222.4,1990.4
201,15.6,33.393,10.0,2231.1,1985.7
202,14.67,33.362,10.0,2223.4,1990.9
204,11.23,33.278,11.0,2217.3,1997.0
206,11.23,33.6095,11.0,2241.0,1996.8
207,13.18,33.278,11.0,2217.9,1997.2
208,18.2,33.426,10.0,2231.0,1989.9
209,11.23,33.426,10.0,2230.8,1988.9
210,16.78,33.598,10.0,2240.1,1993.5
212,18.2,33.426,10.0,2230.9,1989.4
213,16.78,33.599,10.0,2239.9,1993.3
215,11.23,33.416,11.0,2232.2,1985.5
216,15.9,33.541,11.0,2235.8,1995.1
218,17.55,33.422,11.0,2232.1,1985.3
219,15.9,33.542,11.0,2235.7,1994.8
221,11.23,33.567,12.0,2242.8,1993.8
222,14.41,33.298,11.0,2221.9,1992.7
223,11.23,33.296,11.0,2225.0,1992.0
224,14.41,33.297,11.0,2223.4,1992.3
225,18.41,33.194,9.0,2222.3,1979.1
226,11.23,33.194,9.0,2222.0,1979.6
228,11.23,33.535,10.0,2241.9,1988.8
230,17.07,33.534,10.0,2241.2,1989.3
231,17.6,33.545,16.0,2242.6,1987.1
232,11.23,33.542,16.0,2241.0,1987.5
233,16.17,32.899,11.0,2204.5,1972.9
234,11.23,32.898,11.0,2204.1,1972.5
235,17.6,33.543,16.0,2241.8,1987.3
236,16.17,32.898,11.0,2204.3,1972.7
237,15.95,33.353,10.0,2228.5,1992.5
239,15.64,33.278,10.0,2225.3,1991.8
241,11.23,33.277,10.0,2222.8,1992.0
242,15.95,33.353,10.0,2230.5,1992.5
243,15.64,33.278,10.0,2224.1,1991.5
244,17.51,33.113,11.0,2217.2,1978.1
245,11.23,33.115,11.0,2217.5,1978.5
246,19.22,33.354,11.0,2228.6,1985.2
247,17.51,33.114,11.0,2217.3,1978.3
248,19.22,33.353,11.0,2228.3,1985.2
249,18.26,33.217,10.0,2231.0,1977.8
250,17.04,33.31,11.0,2233.3,1980.5
252,17.04,33.31,11.0,2233.3,1980.5
253,13.872,33.383,16.0,2231.8,2004.0
255,15.651,33.421,17.0,2230.5,1990.8
257,13.87,33.383,16.0,2232.4,2003.5
258,15.65,33.422,17.0,2233.7,1990.6
259,14.9,33.162,16.0,2214.9,1992.9
260,11.23,33.161,16.0,2217.1,1991.8
261,14.9,33.161,16.0,2216.0,1992.3
262,14.97,33.305,11.0,2221.6,1997.4
264,14.97,33.302,11.0,2220.6,1996.5
265,19.31,33.125,11.0,2214.3,1982.7
267,19.31,33.125,11.0,2215.6,1982.1
268,19.2,33.298,11.0,2225.1,1986.7
269,11.23,33.295,11.0,2227.9,1989.0
271,17.72,33.28,11.0,2223.0,1984.4
272,11.23,33.28,11.0,2222.8,1986.2
273,17.72,33.28,11.0,2222.9,1985.3
275,11.23,33.124,17.0,2217.3,1980.9
276,18.61,33.123,17.0,2216.2,1980.9
277,18.39,33.242,11.0,2222.3,1982.3
278,18.39,33.242,11.0,2221.6,1982.4
280,18.39,33.242,11.0,2224.0,1982.0
281,18.39,33.246,11.0,2222.3,1982.3
282,18.6,33.383,13.0,2229.6,1985.3
283,11.23,33.384,13.0,2232.7,1986.8
284,18.6,33.383,13.0,2231.1,1986.0
285,15.44,33.388,10.0,2231.7,1993.9
286,11.23,33.386,10.0,2231.6,1993.1
287,13.6,33.219,10.0,2219.4,1994.9
288,11.23,33.22,10.0,2218.0,1994.3
290,13.48,33.397,10.0,2228.9,2004.6
292,13.6,33.22,10.0,2218.7,1994.6
293,13.48,33.398,10.0,2230.8,2004.3
294,17.5,33.582,10.0,2241.0,2000.0
295,11.23,33.583,10.0,2241.5,1999.3
300,11.23,33.283,10.0,2224.3,1996.8
301,15.85,33.326,10.0,2223.3,1999.0
302,15.23,33.284,10.0,2222.4,1995.7
303,18.11,33.483,10.0,2244.2,1988.9
304,11.23,33.479,10.0,2238.0,1991.4
306,11.23,33.707,10.0,2254.6,1993.7
307,11.23,33.409,10.0,2253.4,1989.2
310,17.47,33.413,10.0,2232.6,1989.2
311,13.71,33.526,10.0,2227.3,2008.3
312,11.23,33.552,10.0,2230.7,2007.0
313,13.63,33.399,10.0,2222.9,2003.2
316,13.63,33.404,10.0,2225.1,2002.3
317,15.63,33.466,10.0,2229.2,1999.3
319,16.76,33.648,10.0,2239.8,2064.3
320,11.23,33.648,10.0,2239.8,2001.2
323,16.76,33.648,10.0,2239.8,2001.2
326,11.23,33.61,10.0,2230.2,2000.6
327,19.17,33.6095,10.0,2235.7,1993.7
328,11.23,33.415,10.0,2228.6,1994.6
329,18.22,33.28,10.0,2234.4,1991.5
331,19.17,33.406,10.0,2229.0,1994.1
332,19.38,33.607,10.0,2240.6,2000.6
333,18.22,33.28,10.0,2219.9,1992.2
334,19.92,33.6095,10.0,2262.2,1998.7
335,11.23,33.6095,10.0,2259.2,1998.5
336,16.83,33.6095,10.0,2235.4,1995.5
337,11.23,33.6095,10.0,2233.4,1995.5
338,18.71,33.6095,10.0,2243.1,1989.5
339,11.23,33.6095,10.0,2238.1,1991.1
340,19.92,33.907,10.0,2261.3,1998.6
341,16.83,33.52,10.0,2234.4,1995.5
342,18.71,33.544,10.0,2237.2,1990.3
343,16.45,33.649,10.0,2245.5,1995.7
344,11.23,33.6095,10.0,2241.0,1996.2
345,11.23,33.656,10.0,2245.2,1996.4
346,14.92,33.257,10.0,2221.9,1990.6
347,11.23,33.6095,10.0,2241.0,1990.7
348,11.23,33.258,10.0,2224.8,1989.1
349,16.45,33.652,10.0,2245.4,1996.2
350,14.92,33.257,10.0,2223.3,1989.9
352,11.23,33.592,10.0,2239.1,1999.6
353,17.01,33.974,10.0,2259.9,2007.7
355,15.75,33.6095,10.0,2226.2,1996.2
356,11.23,33.428,10.0,2226.0,1996.9
357,17.01,33.98,10.0,2259.8,2007.1
359,15.75,33.504,10.0,2226.5,1996.5
360,17.87,33.703,10.0,2245.1,2004.4
361,11.23,33.656,10.0,2243.7,2004.0
362,15.71,33.038,10.0,2209.2,1989.0
363,11.23,33.03,10.0,2208.4,1990.0
364,16.53,33.332,10.0,2224.8,1997.1
365,11.23,33.328,10.0,2222.8,1998.0
367,15.71,33.034,10.0,2208.8,1989.5
369,18.48,33.09,10.0,2213.9,1984.1
370,11.23,33.097,10.0,2215.9,1982.8
372,11.23,33.282,10.0,2225.6,1987.5
373,18.48,33.093,10.0,2214.9,1983.5
374,17.56,33.263,10.0,2223.2,1988.4
375,16.15,33.531,10.0,2233.6,1998.5
376,11.23,33.513,10.0,2236.3,1998.8
377,16.15,33.522,10.0,2234.9,1998.6
378,11.23,33.208,15.0,2216.8,1996.9
379,15.0,33.288,15.0,2224.4,1994.1
380,13.93,33.204,15.0,2216.7,1996.9
381,15.0,33.298,15.0,2224.0,1994.1
382,16.39,33.193,10.0,2222.0,1990.6
383,11.23,33.201,10.0,2220.1,2000.0
384,16.39,33.197,10.0,2221.1,1990.6
385,16.26,33.116,10.0,2214.7,1987.3
386,11.23,33.108,10.0,2215.3,1989.2
388,15.83,33.137,10.0,2216.1,1991.7
389,11.23,33.6095,10.0,2241.0,1991.6
390,11.23,33.135,10.0,2215.8,1991.1
391,11.23,33.6095,10.0,2241.0,1991.5
392,15.83,33.136,10.0,2215.9,1991.5
394,11.23,33.6095,10.0,2241.0,1988.7
395,11.23,33.292,10.0,2228.3,1966.2
396,11.23,33.6095,10.0,2241.0,1988.5
397,19.3,33.295,10.0,2227.8,1982.9
398,18.66,33.183,10.0,2219.8,1983.8
399,11.23,33.6095,10.0,2241.0,1982.7
400,11.23,33.199,10.0,2218.1,1982.9
401,11.23,33.6095,10.0,2241.0,1984.3
403,19.09,33.196,10.0,2222.2,1985.2
404,11.23,33.6095,10.0,2241.0,1984.8
405,11.23,33.199,10.0,2223.0,1984.9
406,11.23,33.6095,10.0,2241.0,1986.8
407,19.09,33.198,10.0,2222.6,1985.5
409,11.23,33.6095,10.0,2241.0,1978.1
411,11.23,33.6095,10.0,2241.0,1979.5
412,19.98,33.172,10.0,2221.4,1978.4
413,19.14,33.248,10.0,2222.4,1977.9
417,20.5,33.487,10.0,2238.2,1987.3
418,11.23,33.6095,10.0,2241.0,1987.0
419,11.23,33.498,10.0,2240.2,1985.9
420,11.23,33.6095,10.0,2241.0,1986.2
421,19.14,33.244,10.0,2221.9,1978.3
422,20.5,33.493,10.0,2239.2,1986.6
423,11.23,33.245,10.0,2206.9,1985.2
424,11.23,33.6095,10.0,2220.1,1984.8
425,11.23,33.246,10.0,2224.1,1986.0
427,11.23,33.029,10.0,2205.7,1981.7
428,11.23,33.6095,10.0,2241.0,1981.5
430,11.23,33.6095,10.0,2241.0,1980.6
431,15.09,33.116,10.0,2212.5,1985.1
434,15.94,33.342,10.0,2227.6,1989.7
435,15.15,33.306,10.0,2223.1,1993.7
437,15.53,33.6095,21.0,2241.0,1991.0
440,15.84,33.341,10.0,2222.7,1993.3
441,18.26,33.43,10.0,2229.8,1990.5
444,18.32,33.253,10.0,2218.8,1986.9
445,18.42,33.181,10.0,2214.3,1984.0
446,15.71,33.16,10.0,2216.3,1989.6
447,14.9,33.174,10.0,2218.5,1993.2
448,17.34,33.178,10.0,2214.6,1985.5
449,20.3,33.347,10.0,2224.8,1979.8
451,15.9,33.536,10.0,2233.0,1997.1
452,16.71,33.493,10.0,2229.2,1995.2
453,18.5,33.594,10.0,2239.0,2000.3
454,18.25,33.6,10.0,2236.7,1997.9
455,18.3,33.156,10.0,2214.2,1981.4
456,18.07,33.184,10.0,2214.0,1983.9
458,15.75,33.376,10.0,2221.5,1996.5
459,14.09,33.329,10.0,2218.2,2002.1
460,13.34,33.053,10.0,2204.6,1997.3
462,18.51,33.366,10.0,2223.9,1991.8
464,14.3,33.37,10.0,2222.6,2010.3
466,17.97,33.314,10.0,2225.3,1992.0
467,16.77,33.788,10.0,2248.1,2006.7
469,18.54,33.499,10.0,2234.7,2004.7
470,18.02,33.528,10.0,2239.0,1999.7
472,9.38,34.39,319.0,2292.0,2265.8
473,10.01,34.13,169.0,2266.7,2219.4
474,10.78,33.71,101.0,2238.4,2145.9
475,12.66,33.45,50.0,2228.2,2075.3
476,15.58,33.31,20.0,2227.4,1998.5
477,22.01,33.56,2.0,2242.6,1986.1
479,14.24,33.33,18.0,2228.2,2007.3
480,12.02,33.48,48.0,2229.3,2096.7
481,10.66,33.74,100.0,2238.3,2147.8
482,9.77,34.0,169.0,2256.1,2194.5
483,8.94,34.29,316.0,2284.3,2252.7
484,6.9,34.32,518.0,2310.6,2306.3
485,6.63,34.32,519.0,2314.0,2309.3
487,9.52,34.08,168.0,2263.8,2204.3
488,10.3,33.77,99.0,2242.4,2156.5
489,11.76,33.49,49.0,2228.3,2095.6
491,20.53,33.51,2.0,2239.8,1983.6
492,6.07,34.31,514.0,2318.7,2318.6
493,7.08,34.15,314.0,2287.3,2271.6
496,12.5,33.38,49.0,2227.9,2065.7
498,17.84,33.51,2.0,2240.5,2000.5
499,5.54,34.21,499.0,2314.2,2316.6
500,6.94,34.08,316.0,2282.8,2256.7
502,10.23,33.37,99.0,2219.6,2088.9
503,12.36,32.86,50.0,2201.5,2018.5
504,17.35,33.36,20.0,2234.4,2011.9
507,8.27,34.24,317.0,2285.9,2274.3
508,9.36,34.14,169.0,2268.2,2231.3
509,9.85,33.97,101.0,2253.3,2193.6
510,11.63,33.57,49.0,2232.1,2111.4
512,19.22,33.56,2.0,2242.4,1979.5
513,6.86,34.3,512.0,2307.3,2303.6
514,8.0,34.29,319.0,2293.3,2277.8
515,8.63,34.01,169.0,2260.3,2201.9
516,9.52,33.84,100.0,2244.9,2169.6
517,11.42,33.65,50.0,2235.6,2123.4
518,15.63,33.55,30.0,2241.9,2014.6
519,16.21,33.55,2.0,2241.6,2014.8
520,13.39,33.34,1.0,2227.2,2016.1
521,11.6,33.52,50.0,2231.3,2104.4
522,10.06,33.85,100.0,2246.0,2176.3
523,9.26,34.05,171.0,2262.1,2213.6
524,8.11,34.2,321.0,2285.3,2259.4
525,5.99,34.29,519.0,2318.7,2319.3
526,13.16,33.4,1.0,2233.5,2023.4
528,12.17,33.48,54.0,2231.6,2082.7
529,10.85,33.64,100.0,2235.4,2140.4
531,7.85,34.23,317.0,2292.4,2287.2
532,6.62,34.26,511.0,2321.7,2329.3
533,14.03,33.36,1.0,2230.2,2001.8
535,11.99,33.49,46.0,2226.8,2106.0
536,10.51,33.8,100.0,2243.2,2167.0
537,9.63,34.11,168.0,2264.7,2217.9
539,6.41,34.33,515.0,2318.5,2314.1
540,13.84,33.38,2.0,2229.7,2015.9
541,13.46,33.37,20.0,2225.6,2017.2
542,11.94,33.38,50.0,2220.4,2081.7
543,9.99,33.84,102.0,2241.9,2172.4
545,7.69,34.23,321.0,2289.9,2273.9
546,6.23,34.33,520.0,2318.7,2318.3
547,13.1,33.34,1.0,2228.5,2022.6
548,12.8,33.34,19.0,2228.6,2030.1
549,12.51,33.34,51.0,2226.3,2049.4
550,9.72,33.8,100.0,2243.4,2170.9
552,7.72,34.23,319.0,2291.2,2276.5
553,5.76,34.28,512.0,2319.9,2320.0
554,14.22,33.15,2.0,2221.6,2002.0
556,13.69,33.22,50.0,2225.2,2018.8
557,10.61,33.51,101.0,2227.2,2123.6
558,8.76,33.95,169.0,2254.6,2192.9
559,7.11,34.1,317.0,2281.5,2261.1
560,5.54,34.25,518.0,2319.4,2322.2
562,14.36,33.38,19.0,2231.9,2006.6
563,13.07,33.37,50.0,2224.4,2067.6
565,9.72,34.05,169.0,2257.2,2203.1
566,8.28,34.26,317.0,2287.7,2265.1
569,12.62,33.4,21.0,2230.2,2038.0
570,10.69,33.51,51.0,2229.7,2119.8
571,9.31,33.86,102.0,2247.3,2183.2
572,8.91,34.12,169.0,2268.9,2230.6
573,7.4,34.2,320.0,2290.5,2275.0
574,6.22,34.27,516.0,2312.3,2311.0
575,13.0,33.59,1.0,2247.9,1985.5
577,10.15,33.84,50.0,2246.5,2181.1
578,9.46,34.03,101.0,2259.6,2215.4
579,8.79,34.12,172.0,2270.8,2241.7
580,7.67,34.23,321.0,2294.0,2291.6
581,6.54,34.26,514.0,2327.5,2336.7
582,14.1,33.42,2.0,2239.7,1994.9
583,13.12,33.44,20.0,2234.3,2048.0
585,10.06,33.94,101.0,2251.8,2192.9
586,9.3,34.15,167.0,2268.4,2230.8
587,7.68,34.26,317.0,2293.8,2283.9
588,6.51,34.31,515.0,2314.9,2311.0
589,13.09,33.46,2.0,2237.5,2033.9
590,13.09,33.46,20.0,2239.5,2033.5
591,11.49,33.6,49.0,2235.6,2126.3
592,10.01,33.76,101.0,2241.8,2168.5
593,8.88,34.1,169.0,2267.7,2227.2
595,6.37,34.33,500.0,2317.3,2316.9
597,12.75,33.0,21.0,2209.3,2010.3
600,8.75,33.96,172.0,2254.5,2195.2
601,7.41,34.17,321.0,2284.8,2269.8
603,14.73,33.26,2.0,2226.0,2007.8
604,14.8,33.3,18.0,2226.8,2007.6
606,11.74,33.02,101.0,2204.3,2035.7
607,9.52,33.79,172.0,2242.0,2140.2
608,7.49,34.1,321.0,2277.6,2252.2
609,5.78,34.23,516.0,2311.9,2314.1
610,14.53,33.34,1.0,2227.8,2007.5
611,13.9,33.33,20.0,2227.3,2007.9
612,12.17,33.37,50.0,2224.7,2075.1
613,9.26,34.13,169.0,2268.0,2218.6
614,8.07,34.26,318.0,2290.2,2271.4
615,6.31,34.29,515.0,2314.4,2311.8
616,14.04,33.58,2.0,2243.9,2052.4
617,11.39,33.59,20.0,2235.7,2132.1
619,9.73,33.9,101.0,2251.3,2194.2
620,9.16,34.09,171.0,2266.3,2220.3
622,6.71,34.28,516.0,2307.4,2301.2
623,16.27,33.21,2.0,2225.2,2001.4
624,17.76,33.61,2.0,2251.1,1963.3
625,14.75,33.53,21.0,2246.3,2015.3
626,11.94,33.53,50.0,2231.3,2109.9
627,9.55,34.02,100.0,2258.5,2205.6
628,9.17,34.15,170.0,2270.6,2233.2
629,7.93,34.22,321.0,2289.2,2280.2
630,6.56,34.26,517.0,2327.9,2333.1
631,6.53,34.26,572.0,2335.5,2342.9
632,21.37,33.6,1.0,2248.4,1951.5
633,15.19,33.48,21.0,2239.6,1998.0
634,11.33,33.48,48.0,2227.8,2113.2
635,10.09,33.81,101.0,2245.1,2169.5
636,9.5,34.13,171.0,2267.8,2217.6
637,8.37,34.25,322.0,2286.6,2259.6
638,6.94,34.31,517.0,2309.0,2300.1
639,19.82,33.55,1.0,2243.6,1997.9
640,19.04,33.59,19.0,2245.0,2039.7
641,11.49,33.59,50.0,2233.4,2123.2
644,7.71,34.28,320.0,2297.1,2280.9
645,6.48,34.32,522.0,2315.7,2309.3
646,16.94,33.63,1.0,2253.4,1980.8
647,16.93,33.63,20.0,2253.3,1980.5
648,10.41,33.79,63.0,2243.5,2166.2
649,9.48,34.01,101.0,2256.9,2201.9
651,7.51,34.28,319.0,2297.0,2285.3
652,6.27,34.32,517.0,2316.6,2314.4
653,16.65,33.15,2.0,2223.2,1999.1
654,16.48,33.16,25.0,2223.5,1998.9
656,11.47,33.15,101.0,2214.9,2060.1
657,9.48,33.79,175.0,2243.7,2165.2
658,7.54,34.13,318.0,2283.5,2256.5
659,5.99,34.27,510.0,2314.8,2311.8
660,20.78,33.58,2.0,2248.1,1948.8
661,13.73,33.38,21.0,2234.3,2011.0
662,11.06,33.53,51.0,2228.4,2125.2
663,9.88,33.86,101.0,2246.8,2171.8
664,9.49,34.1,171.0,2264.1,2213.2
666,6.99,34.31,513.0,2307.0,2297.2
667,15.66,33.21,2.0,2225.0,2001.2
669,15.63,33.42,2.0,2230.9,1994.4
671,10.59,33.64,50.0,2230.6,2143.2
672,10.11,33.81,100.0,2239.6,2170.2
673,9.38,34.04,171.0,2257.7,2214.6
674,8.48,34.21,271.0,2283.2,2281.2
675,17.36,33.43,2.0,2232.1,1993.3
677,12.56,33.27,52.0,2215.0,2061.0
678,11.05,33.52,106.0,2224.8,2125.8
679,9.75,33.91,170.0,2247.1,2183.8
681,18.04,33.46,1.0,2237.7,1995.5
684,11.02,33.57,100.0,2229.9,2133.9
685,9.91,33.98,171.0,2253.6,2195.8
686,8.03,34.19,320.0,2282.0,2253.6
687,18.54,33.54,2.0,2241.0,1998.5
688,18.43,33.53,20.0,2239.3,1998.5
689,11.81,33.34,50.0,2218.8,2084.1
692,8.35,34.24,321.0,2284.9,2259.1
694,16.89,33.52,1.0,2244.0,2005.4
695,16.66,33.53,20.0,2243.9,2007.5
696,11.89,33.5,49.0,2232.0,2114.1
697,9.66,33.79,100.0,2243.1,2167.9
698,8.76,34.01,170.0,2259.6,2201.0
699,7.34,34.22,322.0,2291.0,2275.8
700,5.72,34.28,519.0,2319.1,2315.9
701,16.11,33.19,2.0,2224.2,1996.0
702,15.78,33.19,21.0,2223.9,1994.1
703,14.95,33.24,51.0,2227.6,2003.1
704,11.02,33.18,100.0,2212.0,2072.4
706,7.64,34.14,320.0,2280.4,2251.3
707,5.68,34.22,515.0,2312.0,2308.9
708,1.56,34.67,3506.0,2431.4,2351.7
709,18.25,33.47,1.0,2237.6,1996.9
710,17.67,33.41,20.0,2233.9,1997.7
711,13.06,33.26,50.0,2219.9,2050.0
712,11.23,33.52,100.0,2227.8,2118.6
713,9.94,33.97,170.0,2253.2,2191.4
714,9.01,34.26,321.0,2280.6,2246.7
715,13.41,33.09,2.0,2212.9,2004.8
716,1.52,34.68,3505.0,2430.6,2350.7
717,14.37,33.34,2.0,2227.4,2015.1
719,13.22,33.34,49.0,2223.3,2048.9
721,9.85,33.92,171.0,2250.4,2191.6
722,8.26,34.2,320.0,2282.3,2278.8
723,15.1,33.38,2.0,2230.5,2009.2
724,15.1,33.38,20.0,2230.4,2009.7
725,14.63,33.35,51.0,2227.8,2019.9
726,11.43,33.55,100.0,2230.0,2127.4
727,9.89,33.98,172.0,2254.7,2192.7
728,8.1,34.21,321.0,2283.7,2257.6
729,15.64,33.44,2.0,2236.6,2008.9
730,15.64,33.44,20.0,2236.1,2009.2
732,11.07,33.34,100.0,2217.9,2091.2
735,15.78,33.47,3.0,2237.1,2008.4
736,15.73,33.47,21.0,2237.0,2008.5
737,15.45,33.45,50.0,2235.0,2012.4
738,11.35,33.35,99.0,2218.8,2090.7
739,9.54,33.84,171.0,2245.7,2169.3
740,8.36,34.22,321.0,2280.6,2251.5
741,6.43,34.32,518.0,2315.1,2313.3
742,15.0,33.38,2.0,2230.9,2009.9
743,15.0,33.39,19.0,2230.9,2009.9
745,10.68,33.49,100.0,2225.8,2116.3
